Event Name,Event Start,Event End,Event Location,Event Description
Soccer vs. White House Heritage,2025-03-24 05:00 PM,2025-03-24 08:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Girls play at 5pm; Boys play at 6:30pm
"
Baseball @ Innovation Academy,2025-03-25 04:30 PM,2025-03-25 06:30 PM,"Louise Martin Ball Fields (2295 Old Tn-11, Greenbrier, TN 37073-4611, United States)","
"
Softball vs. Greenbrier,2025-03-26 04:30 PM,2025-03-26 06:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Soccer @ Innovation Academy,2025-03-26 05:00 PM,2025-03-26 08:00 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","Girls play at 5pm; Boys play at 6:30pm
"
Baseball vs. Davidson Academy,2025-03-28 04:00 PM,2025-03-28 06:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Softball vs. Jo Byrns,2025-03-31 05:00 PM,2025-03-31 07:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Baseball @ White House Heritage,2025-03-31 05:00 PM,2025-03-31 07:00 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","
"
Baseball vs. White House Heritage,2025-04-01 04:30 PM,2025-04-01 06:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Softball vs. East Robertson,2025-04-02 04:30 PM,2025-04-02 06:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","JV to follow
"
Soccer @ White House Heritage,2025-04-02 05:00 PM,2025-04-02 08:00 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","Girls play at 5pm; Boys at 6:30pm
"
Baseball vs. Kirkwood,2025-04-03 05:00 PM,2025-04-03 07:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Softball vs. Cheatham,2025-04-07 04:30 PM,2025-04-07 06:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Soccer vs. East Robertson,2025-04-07 05:00 PM,2025-04-07 08:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Girls at 5pm; Boys at 6:30pm
"
Football Interest Meeting ,2025-04-08 07:30 AM,2025-04-08 08:00 AM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Softball @ Jo Byrns,2025-04-09 05:00 PM,2025-04-09 07:00 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","Originally scheduled for March 5th (rained out)
"
Football Parent Meeting ,2025-04-09 06:00 PM,2025-04-09 06:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Baseball @ Kirkwood,2025-04-10 05:00 PM,2025-04-10 07:00 PM,"Kirkwood Middle School (2700 Rossview Rd, Clarksville, TN 37043, United States)","JV first; varsity afterwards
"
Baseball @ Sycamore,2025-04-11 04:30 PM,2025-04-11 06:30 PM,"Sycamore High School (1021 Old Clarksville Pike, Pleasant View, TN 37146, United States)","
"
RCMSAA Softball Tournament,2025-04-14,2025-04-17,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","
"
RCMSAA Baseball Tournament,2025-04-14,2025-04-17,,"
"
Spring Sports Awards,2025-05-01 05:00 PM,2025-05-01 06:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
RCMSAA Volleyball Jamboree,2025-08-02 09:00 AM,2025-08-02 03:00 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","9am- Greenbrier @ Jo Byrns
11am- Innovation Academy @ Coopertown
1pm- WH Heritage @ East Robertson
"
RCMSAA Football Jamboree,2025-08-02 06:00 PM,2025-08-02 07:30 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","6pm- Coopertown vs. WH-Heritage
6:30pm- Greenbrier vs. Innovation Academy
7pm- East Robertson vs. Jo Byrns
"
First Full Day of School,2025-08-06 06:55 AM,2025-08-06 07:25 AM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Volleyball vs. White House Heritage,2025-08-06 05:00 PM,2025-08-06 07:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","JV at 5pm; Varsity at 6pm
"
Football vs. Sycamore,2025-08-07 06:30 PM,2025-08-07 08:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Volleyball vs. Greenbrier,2025-08-11 05:00 PM,2025-08-11 07:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","JV at 5pm; Varsity at 6pm
"
Cross County- Bison Midweek Middle School Meet,2025-08-12 05:00 PM,2025-08-12 05:30 PM,"Welch College (1045 Bison Trl, Gallatin, TN 37066, United States)","
"
Volleyball vs. East Robertson,2025-08-13 05:00 PM,2025-08-13 07:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","JV at 5pm; Varsity at 6pm
"
Soccer vs. Greenbrier,2025-08-13 05:00 PM,2025-08-13 06:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Football @ Fairview,2025-08-14 06:30 PM,2025-08-14 08:30 PM,"Fairview High School (2595 Fairview Blvd, Fairview, TN 37062-9027, United States)","JV at 5pm
"
Volleyball @ Innovation Academy,2025-08-18 05:00 PM,2025-08-18 07:00 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","JV at 5pm; Varsity at 6pm
"
Soccer @ Innovation Academy,2025-08-20 05:00 PM,2025-08-20 07:00 PM,,"
"
Volleyball vs. Jo Byrns,2025-08-20 05:00 PM,2025-08-20 07:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","JV at 5pm; Varsity at 6pm
"
Football @ Walter J Baird,2025-08-21 06:30 PM,2025-08-21 08:30 PM,"Walter J. Baird (131 Wjb Pride Ln, Lebanon, TN 37087, United States)","
"
Cross Country- MSCCA Member Meet,2025-08-22 05:45 PM,2025-08-22 06:15 PM,"Dickson, TN","
"
Volleyball @ WH-Heritage,2025-08-25 05:00 PM,2025-08-25 07:00 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","JV at 5pm; Varsity at 6pm
"
Soccer vs. East Robertson,2025-08-25 05:00 PM,2025-08-25 06:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Football @ Jo Byrns,2025-08-26 06:30 PM,2025-08-26 08:30 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","
"
Volleyball vs. Innovation Academy,2025-08-27 05:00 PM,2025-08-27 07:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","8th Grade Night

JV at 5pm; Varsity at 6pm
"
Soccer @ Greenbrier,2025-08-27 05:00 PM,2025-08-27 06:00 PM,,"
"
Soccer vs. Cheatham County,2025-08-28 05:00 PM,2025-08-28 06:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Football vs. East Robertson,2025-09-02 06:30 PM,2025-09-02 08:30 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","Homecoming Game
"
Volleyball @ Greenbrier,2025-09-03 05:00 PM,2025-09-03 07:00 PM,"Greenbrier Middle School (2450 Highway 41 S, Greenbrier, TN 37073, United States)","JV at 5pm; Varsity at 6pm
"
Soccer @ WH-Heritage,2025-09-03 05:00 PM,2025-09-03 06:00 PM,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","
"
Soccer @ Cheatham County,2025-09-04 05:00 PM,2025-09-04 06:00 PM,"Cheatham Middle School (700 Scoutview Rd, Ashland City, TN 37015-4809, United States)","
"
Cross Country- MSCCA Middle School Championships,2025-09-04 05:45 PM,2025-09-04 06:15 PM,"Andrew Jackson's Hermitage (4580 Rachels Ln, Hermitage, TN 37076, United States)","
"
Volleyball @ East Robertson,2025-09-08 05:00 PM,2025-09-08 07:00 PM,"East Robertson High School (158 Kilgore Trce, Cross Plains, TN 37049, United States)","JV @ 5pm; Varsity @ 6pm
"
Soccer vs. Innovation Academy,2025-09-08 05:00 PM,2025-09-08 06:00 PM,"Coopertown Middle School (3820 Highway 49 W, Springfield, TN 37172, United States)","
"
Football @ Innovation Academy,2025-09-09 06:30 PM,2025-09-09 08:30 PM,"Innovation Academy of Robertson County (715 5th Ave W, Springfield, TN 37172, United States)","
"
Volleyball @ Jo Byrns,2025-09-10 05:00 PM,2025-09-10 07:00 PM,"Jo Byrns High School (7025 Highway 41 N, Cedar Hill, TN 37032, United States)","JV at 5pm; Varsity at 6pm
"
Cross Country- Robertson County Championships,2025-09-11 04:30 PM,2025-09-11 05:00 PM,"Kilgore Trace, Cross Plains, Tennessee 37049, United States","
"
RCMSAA Volleyball Tournament,2025-09-15,2025-09-18,"White House Heritage High School (7744 Highway 76 E, White House, TN 37188, United States)","Varsity and JV Tournament
"
